,value
0,2016-02-11 17:16:13 128.230.247.37 GET / - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 - 200 0 0 283
1,2016-02-11 17:16:13 128.230.247.37 GET /Content/jquery-ui-themes/smoothness/jquery-ui-1.10.3.custom.min.css - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/ 200 0 0 19
2,2016-02-11 17:16:13 128.230.247.37 GET /Plugins/Widgets.NivoSlider/Content/nivoslider/themes/custom/custom.css - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/ 200 0 0 18
3,2016-02-11 17:16:13 128.230.247.37 GET /Plugins/Widgets.NivoSlider/Content/nivoslider/nivo-slider.css - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/ 200 0 0 25
4,2016-02-11 17:16:13 128.230.247.37 GET /Scripts/jquery.validate.unobtrusive.min.js - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/ 200 0 0 36
5,2016-02-11 17:16:13 128.230.247.37 GET /Scripts/jquery.validate.min.js - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/ 200 0 0 57
6,2016-02-11 17:16:13 128.230.247.37 GET /Themes/DefaultClean/Content/css/styles.css - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/ 200 0 0 62
7,2016-02-11 17:16:13 128.230.247.37 GET /Scripts/jquery-migrate-1.2.1.min.js - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/ 200 0 0 22
8,2016-02-11 17:16:13 128.230.247.37 GET /Scripts/public.common.js - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/ 200 0 0 16
9,2016-02-11 17:16:13 128.230.247.37 GET /Scripts/public.ajaxcart.js - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/ 200 0 0 9
10,2016-02-11 17:16:13 128.230.247.37 GET /Plugins/Widgets.NivoSlider/Scripts/jquery.nivo.slider.js - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/ 200 0 0 37
11,2016-02-11 17:16:13 128.230.247.37 GET /Scripts/jquery-ui-1.10.3.custom.min.js - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/ 200 0 0 107
12,2016-02-11 17:16:13 128.230.247.37 GET /Scripts/jquery-1.10.2.min.js - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/ 200 0 0 125
13,2016-02-11 17:16:13 128.230.247.37 GET /content/images/thumbs/0000075_banner_1.jpg - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/ 200 0 0 37
14,2016-02-11 17:16:13 128.230.247.37 GET /Themes/DefaultClean/Content/images/logo.png - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/ 200 0 0 37
15,2016-02-11 17:16:13 128.230.247.37 GET /content/images/thumbs/0000005_electronics_450.jpeg - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/ 200 0 0 48
16,2016-02-11 17:16:13 128.230.247.37 GET /content/images/thumbs/0000009_apparel_450.jpeg - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/ 200 0 0 48
17,2016-02-11 17:16:13 128.230.247.37 GET /content/images/thumbs/0000013_digital-downloads_450.jpeg - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/ 200 0 0 48
18,2016-02-11 17:16:13 128.230.247.37 GET /content/images/thumbs/0000072_25-virtual-gift-card_415.jpeg - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/ 200 0 0 11
19,2016-02-11 17:16:13 128.230.247.37 GET /content/images/thumbs/0000020_build-your-own-computer_415.jpeg - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/ 200 0 0 16
20,2016-02-11 17:16:13 128.230.247.37 GET /content/images/thumbs/0000024_apple-macbook-pro-13-inch_415.jpeg - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/ 200 0 0 16
21,2016-02-11 17:16:13 128.230.247.37 GET /content/images/thumbs/0000041_htc-one-m8-android-l-50-lollipop_415.jpeg - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/ 200 0 0 41
22,2016-02-11 17:16:13 128.230.247.37 GET /Plugins/Widgets.NivoSlider/Content/nivoslider/themes/custom/loading.gif - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/Plugins/Widgets.NivoSlider/Content/nivoslider/themes/custom/custom.css 200 0 0 6
23,2016-02-11 17:16:13 128.230.247.37 GET /Themes/DefaultClean/Content/images/rating1.png - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 19
24,2016-02-11 17:16:13 128.230.247.37 GET /Themes/DefaultClean/Content/images/rating2.png - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 20
25,2016-02-11 17:16:13 128.230.247.37 GET /Themes/DefaultClean/Content/images/shopping-bag.png - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 21
26,2016-02-11 17:16:13 128.230.247.37 GET /Themes/DefaultClean/Content/images/social-sprite.png - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 12
27,2016-02-11 17:16:13 128.230.247.37 GET /Themes/DefaultClean/Content/images/compare-button.png - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 71
28,2016-02-11 17:16:13 128.230.247.37 GET /Content/jquery-ui-themes/smoothness/images/ui-bg_flat_75_ffffff_40x100.png - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/Content/jquery-ui-themes/smoothness/jquery-ui-1.10.3.custom.min.css 200 0 0 50
29,2016-02-11 17:16:13 128.230.247.37 GET /Themes/DefaultClean/Content/images/wishlist-button.png - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 http://group0.ist722.ischool.syr.edu/Themes/DefaultClean/Content/css/styles.css 200 0 0 70
30,2016-02-11 17:16:13 128.230.247.37 GET /favicon.ico - 80 - 215.82.23.2 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:43.0)+Gecko/20100101+Firefox/43.0 - 200 0 0 62
